1	<html>@1<br> -Một</html>
hết viá	<html>@hết viá<br>-@hết viá<br>- Frightened to death</html>
hết ý	<html>@hết ý<br>-@hết ý<br>- (thông tục) Mightily, excessively<br>=Ngon hết ý+Excessively delicious</html>
hết đời	<html>@hết đời<br>-@hết đời<br>- (nghĩa xấu) Be dead and gone<br>=Thế là hết đời tên phản quốc+So the traitor was dead and gone</html>
hếu	<html>@hếu<br>-@hếu<br>- trắng hếu very white</html>
hề	<html>@hề<br>-@hề<br>* noun<br>- clown; funny-man</html>
hề chi	<html>@hề chi<br>-@hề chi<br>- Matter<br>=Việc ấy không hề chi mà ngại+Don't worry, that doesn't matter</html>
hề gì	<html>@hề gì<br>-@hề gì<br>- như hề chi</html>
hề hấn	<html>@hề hấn<br>-@hề hấn<br>- (tiếng địa phương) như hề</html>
hề hề	<html>@hề hề<br>-@hề hề<br>- Grin broadly (naively or one's embarrassment away)<br>=Nhận xét anh ta hay đến họp chậm, anh ta hề hề+At our remark that he was always late at meetings, he just grinned broadly his embarrassment away</html>
hềnh hệch	<html>@hềnh hệch<br>-@hềnh hệch<br>- (Cười hềnh hệch) To smile naively, to smile artlessly</html>
hể hả	<html>@hể hả<br>-@hể hả<br>* adj<br>- satisfied; content</html>
hểnh	<html>@hểnh<br>-@hểnh<br>- (Hểnh mũi) Hold up one's head, bridle<br>=Được nhiều người khen, hễnh mũi lên+To bridle at the flow<br>=hễnh mũi lên+To bridle at the flow of praises coming down on one</html>
hễ	<html>@hễ<br>-@hễ<br>- if; whenever</html>
hệ	<html>@hệ<br>-@hệ<br>* noun<br>- branch, system</html>
hệ luận	<html>@hệ luận<br>-@hệ luận<br>- Corollary</html>
hệ lụy	<html>@hệ lụy<br>-@hệ lụy<br>- Social ties; family ties</html>
hệ quả	<html>@hệ quả<br>-@hệ quả<br>* noun<br>- consequence</html>
hệ số	<html>@hệ số<br>-@hệ số<br>- Coefficient<br>=Hệ số nén+Coefficient of compressibility</html>
hệ thống	<html>@hệ thống<br>-@hệ thống<br>* noun<br>- system; network; chanel; net<br>=theo hệ thống+through the usual channel<br>=hệ thống đường xá+road net</html>
hệ thống hoá	<html>@hệ thống hoá<br>-@hệ thống hoá<br>- Systematize</html>
hệ trọng	<html>@hệ trọng<br>-@hệ trọng<br>* adj<br>- important; vital; capital</html>
hệ từ	<html>@hệ từ<br>-@hệ từ<br>- (triết học, ngôn ngữ học) Copula</html>
hệch	<html>@hệch<br>-@hệch<br>- (xấu) Gape<br>=Hệch mồm ra mà cười+To gape and smile, to grin</html>
hệt	<html>@hệt<br>-@hệt<br>- As like as two peas</html>
hỉ	<html>@hỉ<br>-@hỉ<br>- Blow (one's nose)<br>=Hỉ mũi vào mùi xoa+To blow one's nose into a handkerchief<br>- happy occasion (news...)<br>=Đám hỉ+A happy occasion ; a wedding</html>
hỉ nọ	<html>@hỉ nọ<br>-@hỉ nọ<br>* adjective<br>-joy and anger</html>
hỉ nự	<html>@hỉ nự<br>-@hỉ nự<br>* noun<br>-happy occasion</html>
hỉ sắc	<html>@hỉ sắc<br>-@hỉ sắc<br>- Happy look (on the face)</html>
hỉ sự	<html>@hỉ sự<br>-@hỉ sự<br>- Happy occasion; wedding</html>
hỉ tín	<html>@hỉ tín<br>-@hỉ tín<br>- (từ cũ; nghĩa cũ) happy news</html>
hỉ xả	<html>@hỉ xả<br>-@hỉ xả<br>- (ít dùng) Gladly and readily sacrifice oneself</html>
hỉnh	<html>@hỉnh<br>-@hỉnh<br>* verb<br>- to turn up;<br>=mũi cô ta hỉnh lên+Her nose turns up</html>
hịch	<html>@hịch<br>-@hịch<br>* noun<br>- proclamation</html>
họ	<html>@họ<br>-@họ<br>* noun<br>- last name ; family name<br>* noun<br>- tontine<br>=chi họ+to participate in a tontine they<br>=họ nói rằng+they say that</html>
họ hàng	<html>@họ hàng<br>-@họ hàng<br>* noun<br>- relation; relatives<br>=họ hàng gần+near relation</html>
họ mạc	<html>@họ mạc<br>-@họ mạc<br>- như họ hàng</html>
họ ngoại	<html>@họ ngoại<br>-@họ ngoại<br>- Distaff-side relations, wife's blood relations, distaff-side line of descent, wife's life of descent</html>
họ nội	<html>@họ nội<br>-@họ nội<br>- Spear-side relations, hushand's blood relations, staff-side line of descent</html>
họ đương	<html>@họ đương<br>-@họ đương<br>- như họ hàng</html>
họ đạo	<html>@họ đạo<br>-@họ đạo<br>- Parish</html>
họa báo	<html>@họa báo<br>-@họa báo<br>* noun<br>- pictorial, pictorial picture</html>
họa chăng	<html>@họa chăng<br>-@họa chăng<br>- Unless</html>
họa công	<html>@họa công<br>-@họa công<br>- (từ cũ; nghĩa cũ) Limner</html>
họa căn	<html>@họa căn<br>-@họa căn<br>- Seeds of misfortune</html>
họa hoằn	<html>@họa hoằn<br>-@họa hoằn<br>- Very occasionally, far between, once in a blue moon<br>=Họa hoằn mới uống cốc rượu+To drink a glass of wine very occasionally</html>
họa là	<html>@họa là<br>-@họa là<br>- On the chance of (that), perhaps.<br>="Họa là người dưới suối vàng biết cho" (Nguyễn Du)+Perhaps she who is in the nether world may come to know</html>
họa may	<html>@họa may<br>-@họa may<br>- On the chance ot (that)<br>=Ta cứ đi họa may anh bạn có ở nhà+Let's go all the same, on the chance that our friend is in</html>
họa mi	<html>@họa mi<br>-@họa mi<br>* noun<br>- nightingale</html>
họa sĩ	<html>@họa sĩ<br>-@họa sĩ<br>* noun<br>- artist, painter</html>
họa vần	<html>@họa vần<br>-@họa vần<br>- Rhyme compose verses (to a given rhyme)</html>
họa đồ	<html>@họa đồ<br>-@họa đồ<br>* noun<br>-plan</html>
học	<html>@học<br>-@học<br>* verb<br>- to study; to learn; to read<br>=anh học tiếng Anh đã bao lâu?+How long have you been learning English?</html>
học bạ	<html>@học bạ<br>-@học bạ<br>- School report<br>=Sao học bạ+To make a duplicate of a school report</html>
học bổng	<html>@học bổng<br>-@học bổng<br>* noun<br>- scholarship</html>
học chính	<html>@học chính<br>-@học chính<br>- (từ cũ; nghĩa cũ) Education service (thời thuộc pháp)</html>
học cụ	<html>@học cụ<br>-@học cụ<br>- Teaching aid, teaching implement</html>
học giả	<html>@học giả<br>-@học giả<br>* noun<br>- scholar; learned man; litery man<br>=anh ta là một học giả uyên thâm+He is no mean scholar</html>
học gạo	<html>@học gạo<br>-@học gạo<br>- (khẩu ngữ) Mug up; bone up on</html>
học hiệu	<html>@học hiệu<br>-@học hiệu<br>- (từ cũ; nghĩa cũ) School</html>
học hàm	<html>@học hàm<br>-@học hàm<br>- University teacher's rank<br>=Học hàm giáo sư+The rank of a professor, a professorship</html>
học hành	<html>@học hành<br>-@học hành<br>- Learn, study (nói khái quát)<br>=Chăm chỉ học hành+To study with assiduity</html>
học hỏi	<html>@học hỏi<br>-@học hỏi<br>- Investigate, inquire, learn<br>=Có tinh thần học hỏi+To have an inquiring mind<br>=Phải kiên trì học hỏi thì mới đạt được những đỉnh cao của khoa học+One must patiently investigate if one is to reach peaks of science</html>
học khóa	<html>@học khóa<br>-@học khóa<br>- Period of a curriculum<br>=Học khóa năm năm+A five-year curriculum period</html>
học lỏm	<html>@học lỏm<br>-@học lỏm<br>- Pick up<br>=Học lỏm được mấy tiếng nước ngoài+To pick up some foreign words</html>
học lực	<html>@học lực<br>-@học lực<br>* noun<br>- capacity (of a student)</html>
học mót	<html>@học mót<br>-@học mót<br>- Learn by bits and pieces</html>
học phiệt	<html>@học phiệt<br>-@học phiệt<br>- Scholar-autocrat (who wants to monopolize scholar-lines, to suppress other's ideas for self-advancement)</html>
học phái	<html>@học phái<br>-@học phái<br>- (từ cũ; nghĩa cũ) School, school of thought<br>=Học phái+Pla-ton The Platonic school</html>
học phí	<html>@học phí<br>-@học phí<br>* noun<br>- school fees</html>
học quan	<html>@học quan<br>-@học quan<br>- (từ cũ; nghĩa cũ) Education official (thời thuộc pháp)</html>
học sinh	<html>@học sinh<br>-@học sinh<br>- Schoolboy, schoolgirl, pupil</html>
học thuyết	<html>@học thuyết<br>-@học thuyết<br>* noun<br>- doctrine; teaching</html>
học thuật	<html>@học thuật<br>-@học thuật<br>- Learning<br>=Trong lĩnh vực học thuật+In the domain of learning</html>
học thức	<html>@học thức<br>-@học thức<br>* noun<br>- knowledge; learning<br>=người có học thức+Educated man</html>
học trò	<html>@học trò<br>-@học trò<br>* noun<br>- pupil; school boy; school girl</html>
học tập	<html>@học tập<br>-@học tập<br>- Train, drill; learn study<br>=Học tập chăm chỉ+To study with assiduity<br>-Follow in the steps of<br>=Học tập cha anh+To follow in the steps of one's elders</html>
học viên	<html>@học viên<br>-@học viên<br>* noun<br>- trainee</html>
học viện	<html>@học viện<br>-@học viện<br>* noun<br>- institute</html>
học vấn	<html>@học vấn<br>-@học vấn<br>- Knowledge (gained from study), culture<br>=Người có học vấn rộng+A person of wide culture</html>
học vần	<html>@học vần<br>-@học vần<br>- (Sách học vần) Syllabary, primer</html>
học vị	<html>@học vị<br>-@học vị<br>- University degree, university education diploma, post-universityu degree, post-university dip loma</html>
học xá	<html>@học xá<br>-@học xá<br>* noun<br>- dormitory</html>
học ôn	<html>@học ôn<br>-@học ôn<br>- Revise, review</html>
học đòi	<html>@học đòi<br>-@học đòi<br>- Ape, take a leaf out of the book of<br>=Học đòi những thói xa hoa+To ape other's expensive tastes</html>
học đường	<html>@học đường<br>-@học đường<br>* noun<br>- school</html>
họng	<html>@họng<br>-@họng<br>* noun<br>- throat</html>
họp	<html>@họp<br>-@họp<br>* verb<br>- to meet; to gather; to convene</html>
họp báo	<html>@họp báo<br>-@họp báo<br>- Press conference</html>
họp hành	<html>@họp hành<br>-@họp hành<br>- Meet, gather (nói khái quát)</html>
họp mặt	<html>@họp mặt<br>-@họp mặt<br>- Get together<br>=Hôm nào ta họp mặt các bạn cũ và nhắc lại chuyện hồi còn trẻ đi+Let's get old friends together and talk about our young days<br>=Cuộc họp mặt liên hoan+A merry-making get-together</html>
hỏa	<html>@hỏa<br>-@hỏa<br>* noun<br>- fire<br>=phát hỏa+To catch fire</html>
hỏa châu	<html>@hỏa châu<br>-@hỏa châu<br>* noun<br>-flare</html>
hỏa diệm sơn	<html>@hỏa diệm sơn<br>-@hỏa diệm sơn<br>* noun<br>- volcano</html>
hỏa hoạn	<html>@hỏa hoạn<br>-@hỏa hoạn<br>* noun<br>- fire</html>
hỏa lực	<html>@hỏa lực<br>-@hỏa lực<br>* noun<br>- fire power</html>
hỏa pháo	<html>@hỏa pháo<br>-@hỏa pháo<br>* noun<br>-fuze</html>
hỏa tiễn	<html>@hỏa tiễn<br>-@hỏa tiễn<br>* noun<br>- rocket; missile</html>
hỏa táng	<html>@hỏa táng<br>-@hỏa táng<br>* verb<br>-to cremate<br>=sự hỏa táng+cremation<br>=lò hỏa táng+cremetorium; crematory</html>
hỏa xa	<html>@hỏa xa<br>-@hỏa xa<br>* noun<br>-train<br>=đường hỏa xa+railway; railroad</html>
hỏi	<html>@hỏi<br>-@hỏi<br>* verb<br>- to ask; to question, to inquire; to interrogate<br>=hỏi thăm việc gì+to ask about something</html>
hỏi bài	<html>@hỏi bài<br>-@hỏi bài<br>- Ask (pupils) quetions on a lesson<br>=Hỏi bài cũ trước khi giảng bài mới+To ask questions on a old lesson before giving a new one</html>
hỏi cung	<html>@hỏi cung<br>-@hỏi cung<br>* verb<br>- to interrogate, to question</html>
hỏi dò	<html>@hỏi dò<br>-@hỏi dò<br>* verb<br>- to investigate</html>
hỏi dồn	<html>@hỏi dồn<br>-@hỏi dồn<br>- Assail (ply) (somebody) with questions</html>
hỏi gạn	<html>@hỏi gạn<br>-@hỏi gạn<br>- Questions closed but gently<br>=Hỏi gạn mãi thằng bé nó mới thú nhận đã bỏ học đi chơi <br><br>-Only after many close and gentle questionns did the little boy admitted that he had played truant</html>
hỏi han	<html>@hỏi han<br>-@hỏi han<br>* verb<br>- to inquire after, to ask after</html>
hỏi nhỏ	<html>@hỏi nhỏ<br>-@hỏi nhỏ<br>- Ask privately, ask under one's breath<br>=Hỏi nhỏ bạn mượn cái xe đạp+To ask privately one's friend to lennd one his bivcycle</html>
hỏi thi	<html>@hỏi thi<br>-@hỏi thi<br>- Examine (pupils...)<br>=Hỏi thi tiếng Anh+To examine pupils (student)in English</html>
hỏi thăm	<html>@hỏi thăm<br>-@hỏi thăm<br>- Ask after, inquire affter<br>=Hỏi thăm gia đình bạn+To inquire after one's friend's family<br>-Ask for, inquire about<br>=Hỏi thăm đường đi+To ask [for] one's way</html>
hỏi tiền	<html>@hỏi tiền<br>-@hỏi tiền<br>* verb<br>-to ask for money</html>
hỏi tội	<html>@hỏi tội<br>-@hỏi tội<br>- Have it in for</html>
hỏi vặn	<html>@hỏi vặn<br>-@hỏi vặn<br>- Cross-examine, cross-question (for exhaustive information or to embarrass the person)<br>!Hỏi vặn hỏi vẹo<br>- như hỏi vặn (ý mạnh hơn)</html>
hỏi vợ	<html>@hỏi vợ<br>-@hỏi vợ<br>- Ask for a girl's hand (from her parents...)<br>=Đi hỏi vợ cho con+To go and ask for a girl's hand for one's son</html>
hỏm	<html>@hỏm<br>-@hỏm<br>- Sunken in<br>=Sâu hỏm+Deeply sunken in<br>=Hom hỏm (láy, ý tăng)</html>
hỏn	<html>@hỏn<br>-@hỏn<br>- Pink (like a new-born baby)<br>=Em bé còn đỏ hỏn+The baby was still pink<br>=Hon hỏn (láy, ý tăng)</html>
hỏn hẻn	<html>@hỏn hẻn<br>-@hỏn hẻn<br>- (Hỏn hẻn cười) To give a shy smile</html>
hỏng	<html>@hỏng<br>-@hỏng<br>* verb<br>- to fail; to miss; to break down; to fail at an examination<br>=hỏng việc+to fail in an affair</html>
hỏng bét	<html>@hỏng bét<br>-@hỏng bét<br>- (thông tục) Utterly unsuccessful, gone to the dogs<br>=Thôi, mọi việc hỏng bét rồi+Well, everything's gone bust</html>
hỏng hóc	<html>@hỏng hóc<br>-@hỏng hóc<br>- Fail, break down<br>=Máy bị hỏng hóc+The engine has broken down</html>
hỏng kiểu	<html>@hỏng kiểu<br>-@hỏng kiểu<br>- (thông tục) Nothing done, nothing achieved, all up with<br>=Thế là hỏng kiểu+So nothing has been done; so it's all up with it</html>
hỏng máy	<html>@hỏng máy<br>-@hỏng máy<br>- Have a breakdown<br>=Xe chúng tôi bị hỏng máy dọc đường+Our car had a breakdown on the way</html>
hỏng ăn	<html>@hỏng ăn<br>-@hỏng ăn<br>- Be deprived of something to eat, not be given to eat<br>=Đến chậm quá thì hỏng ăn đấy+If you come too late, you won't be given anything to eat.<br>-(thông tục) Fail to gain something, suffer losses<br>=Làm không cẩn thận thì hỏng ăn+To suffer losses (to fail) because of carelessness</html>
hố	<html>@hố<br>-@hố<br>* noun<br>- hole; grave; tomb<br>=hố cá nhân+foxhole</html>
hố tiêu	<html>@hố tiêu<br>-@hố tiêu<br>- như hố xí</html>
hố xí	<html>@hố xí<br>-@hố xí<br>- Latrine<br>=Hố xí hai ngăn+A tow-compartment latrine</html>
hốc	<html>@hốc<br>-@hốc<br>* noun<br>- hallow</html>
hốc hác	<html>@hốc hác<br>-@hốc hác<br>* adj<br>- gaunt; haggard<br>=mặt mày hốc hác+gaunt face</html>
hốc mắt	<html>@hốc mắt<br>-@hốc mắt<br>- (giải) Orbit</html>
hốc xì	<html>@hốc xì<br>-@hốc xì<br>- (thông tục) Get nothing at all, gain nothing<br>=Hốc xì ăn+To get nothing to eat</html>
hối	<html>@hối<br>-@hối<br>* verb<br>- to repent; to regret; to rue<br>* verb<br>- to press; to urge; to hurry</html>
hối cải	<html>@hối cải<br>-@hối cải<br>- Show repentance and desire to redeem one's faults<br>=Khoan dung đối với người biết hối cải+To lenient to those who show repentance and desire to redeem their faults<br><br>@<br>- hối đoái<br>* noun<br>- exchange<br>=sở hối đoái+Foreign exchange office</html>
hối hả	<html>@hối hả<br>-@hối hả<br>- Hurry, hasten<br>=Hối hả mua vé xe lửa+To hurry off and buy a train ticket</html>
hối hận	<html>@hối hận<br>-@hối hận<br>* verb<br>- to repent; to rue</html>
hối lộ	<html>@hối lộ<br>-@hối lộ<br>* verb<br>- to bribe; to corrupt<br>=ăn hối lộ+to receive a bribe</html>
hối phiếu	<html>@hối phiếu<br>-@hối phiếu<br>- Bill of exchange</html>
hối quá	<html>@hối quá<br>-@hối quá<br>- Regret one's faults</html>
hối tiếc	<html>@hối tiếc<br>-@hối tiếc<br>- Repent [of], regret</html>
hối đoái	<html>@hối đoái<br>-@hối đoái<br>* noun<br>-exchange<br>=sở hối đoái+Foreign exchange office</html>
hống hách	<html>@hống hách<br>-@hống hách<br>- Overbearing, domineering</html>
hốt	<html>@hốt<br>-@hốt<br>- Ivory (bone) tablet (hold by mandarins when in formal dress)<br>-Be frightened<br>-Scoop up (with one's hands)<br>=Hốt gạo đánh vãi+To scoop up with one's hands some spilled rice.<br>-(b) Coin (money)<br>=Đi luôn lãi như thế thật là hốt của+His trade is so profitable, he is just coining money.<br>-(tiếng địa phương) như hót</html>
hốt hoảng	<html>@hốt hoảng<br>-@hốt hoảng<br>* verb<br>- to be frightened out of one's wits</html>
hốt nhiên	<html>@hốt nhiên<br>-@hốt nhiên<br>- All of a sudden</html>
hốt thuốc	<html>@hốt thuốc<br>-@hốt thuốc<br>- (tiếng địa phương) make up a prescription (by a herbalist).<br>-(từ cũ; nghĩa cũ) Earn one's living as herbalist<br>=Mấy đời hốt thuốc+Many generations of professional herbalist</html>
hồ	<html>@hồ<br>-@hồ<br>* noun<br>- lake paste<br>=lọ hồ+a bottle of paste<br>* verb<br>- to glue; to starch<br>=hồ quần áo+to glue linen<br>* noun<br>- mortar<br>=thợ hồ+mason</html>
hồ cầm	<html>@hồ cầm<br>-@hồ cầm<br>- Hu violin (musical instrument of the Hu nationality in China)</html>
hồ dễ	<html>@hồ dễ<br>-@hồ dễ<br>- Not easy at all<br>=Hồ dễ lúc nào cũng gặp được ông ta+It is not easy at all to meet him</html>
hồ hải	<html>@hồ hải<br>-@hồ hải<br>- Going through lakes and seas; high-flying (nói về chí khí người<br>=con trai theo quan niệm phong kiến)</html>
hồ hởi	<html>@hồ hởi<br>-@hồ hởi<br>- Jovial, cheerful<br>=Thái độ hồ hởi+A cheerful attitude</html>
hồ khẩu	<html>@hồ khẩu<br>-@hồ khẩu<br>- Earn one's living, feed one's own mouth</html>
hồ lì	<html>@hồ lì<br>-@hồ lì<br>- Croupier (at a gambling table)<br>=Làm nghề hồ lì+To be a croupier by profession</html>
hồ lô	<html>@hồ lô<br>-@hồ lô<br>- Wine gourd</html>
hồ lơ	<html>@hồ lơ<br>-@hồ lơ<br>- Blue, apply blue to (laundry)</html>
hồ nghi	<html>@hồ nghi<br>-@hồ nghi<br>* verb<br>- to doubt; to discredit</html>
hồ quang	<html>@hồ quang<br>-@hồ quang<br>- (lý) Arc<br>=Đèn hồ quang+An arclamp</html>
hồ sơ	<html>@hồ sơ<br>-@hồ sơ<br>* noun<br>- file; record</html>
hồ thuỷ	<html>@hồ thuỷ<br>-@hồ thuỷ<br>- Pale blue</html>
hồ thỉ	<html>@hồ thỉ<br>-@hồ thỉ<br>- (từ cũ; nghĩa cũ; văn chương) Bow and arrow; young man's ambition in life</html>
hồ tinh	<html>@hồ tinh<br>-@hồ tinh<br>- Mythical fox turned human</html>
hồ tiêu	<html>@hồ tiêu<br>-@hồ tiêu<br>- Pepper</html>
hồ tắm	<html>@hồ tắm<br>-@hồ tắm<br>* noun<br>-swimming-pool</html>
hồ điệp	<html>@hồ điệp<br>-@hồ điệp<br>- (văn chương) Butterfly</html>
hồ đồ	<html>@hồ đồ<br>-@hồ đồ<br>* adj<br>- obscure</html>
hồi	<html>@hồi<br>-@hồi<br>* noun<br>- time; period<br>=hồi tám giờ+At eigh o'clock Act<br>=kịch ba hồi+three acts play chapter<br>* verb<br>- to cancel</html>
hồi cư	<html>@hồi cư<br>-@hồi cư<br>- Return from evacuation</html>
hồi dương	<html>@hồi dương<br>-@hồi dương<br>- Resuscitative, having a resuscitative virtue (nói về phương thuốc)<br><br>@<br>- Hồi giáo<br>-Mohammedanism, Islam<br>=Nhà thờ Hồi giáo+An Islam temple, a mosque</html>
hồi giáo	<html>@hồi giáo<br>-@hồi giáo<br>* noun<br>- Mohammedanism, Islam</html>
hồi hưu	<html>@hồi hưu<br>-@hồi hưu<br>- (từ cũ; nghĩa cũ) Retire (on a pension)</html>
hồi hương	<html>@hồi hương<br>-@hồi hương<br>- Anise</html>
hồi hộp	<html>@hồi hộp<br>-@hồi hộp<br>* verb<br>- to flutter; to tremble with excitement</html>
hồi kinh	<html>@hồi kinh<br>-@hồi kinh<br>- (từ cũ; nghĩa cũ) Be recalled to the capital for instruction from the king</html>
hồi kí	<html>@hồi kí<br>-@hồi kí<br>* noun<br>- memoir</html>
hồi loan	<html>@hồi loan<br>-@hồi loan<br>- (từ cũ; nghĩa cũ) Return to the capital (after a trip of out of it)<br>-(nói về vua)</html>
hồi lâu	<html>@hồi lâu<br>-@hồi lâu<br>- như giờ lâu</html>
hồi môn	<html>@hồi môn<br>-@hồi môn<br>- Dowry, marriage portion</html>
hồi nãy	<html>@hồi nãy<br>-@hồi nãy<br>- Just now</html>
hồi phục	<html>@hồi phục<br>-@hồi phục<br>- Recover<br>=Sức khỏe đã hồi phục+To have recovered one's strength (after an illness)</html>
hồi quy	<html>@hồi quy<br>-@hồi quy<br>- (y) Recurrent<br>=Sốt hồi quy+Recurrent fever</html>
hồi sinh	<html>@hồi sinh<br>-@hồi sinh<br>* verb<br>- to resuscitate; to restore to life</html>
hồi sức	<html>@hồi sức<br>-@hồi sức<br>- Recover one strength, recover from<br>=Anh ấy đã dần dần hồi sức sau đợt ốm dài ngày+He is slowly recovering from his long illness</html>
hồi thanh	<html>@hồi thanh<br>-@hồi thanh<br>- (từ cũ; nghĩa cũ) Echọ</html>
hồi trang	<html>@hồi trang<br>-@hồi trang<br>- (từ cũ; nghĩa cũ) Return to one's native country</html>
hồi trước	<html>@hồi trước<br>-@hồi trước<br>- In the past</html>
hồi tâm	<html>@hồi tâm<br>-@hồi tâm<br>- Realize one's mistake after second thought</html>
hồi tín	<html>@hồi tín<br>-@hồi tín<br>- (từ cũ; nghĩa cũ) Letter of reply</html>
hồi tưởng	<html>@hồi tưởng<br>-@hồi tưởng<br>* verb<br>- to remember; to recall</html>
hồi tỉnh	<html>@hồi tỉnh<br>-@hồi tỉnh<br>* verb<br>- to recover to consciousness</html>
hồi tị	<html>@hồi tị<br>-@hồi tị<br>- (luật) decline judging</html>
hồi tố	<html>@hồi tố<br>-@hồi tố<br>- (luật) Retroactive</html>
hồi văn	<html>@hồi văn<br>-@hồi văn<br>- Palindrome</html>
hồi xuân	<html>@hồi xuân<br>-@hồi xuân<br>- Undergo the change of life, undergo climacterium, undergo menopause</html>
hồi âm	<html>@hồi âm<br>-@hồi âm<br>* verb<br>- to reply</html>
hồi ức	<html>@hồi ức<br>-@hồi ức<br>- Recollect, reminisce</html>
hồn	<html>@hồn<br>-@hồn<br>* noun<br>- soul; spirit; ghost<br>=cầu hồn+to raise a spisit</html>
hồn ha hổn hển	<html>@hồn ha hổn hển<br>-@hồn ha hổn hển<br>- xem hổn hển (láy)</html>
hồn hậu	<html>@hồn hậu<br>-@hồn hậu<br>- Upright, righteous<br>=Con người hồn hậu+An upright person</html>
hồn nhiên	<html>@hồn nhiên<br>-@hồn nhiên<br>* adj<br>- natural; unaffected</html>
hồn phách	<html>@hồn phách<br>-@hồn phách<br>- Soul vital spirit; soul (as opposite to body)<br>=Sợ bạt cả hồn phách+To be frightened out of one's senses<br>=Hồn bay phách lạc+To be frightened out of one's senses</html>
hồn thơ	<html>@hồn thơ<br>-@hồn thơ<br>- Poetic inspiration<br>=Hồn thơ lai láng+Profuse poetic inspiration</html>
hồn vía	<html>@hồn vía<br>-@hồn vía<br>- như hồn phách</html>
hồng	<html>@hồng<br>-@hồng<br>* adj<br>- pink; rosy<br>* noun<br>- persimmon</html>
hồng bì	<html>@hồng bì<br>-@hồng bì<br>- Wampee (cây)</html>
hồng bạch	<html>@hồng bạch<br>-@hồng bạch<br>- (thực) White rose</html>
hồng cầu	<html>@hồng cầu<br>-@hồng cầu<br>- Red Corpuscle, erythrocyte</html>
hồng huyết cầu	<html>@hồng huyết cầu<br>-@hồng huyết cầu<br>- như hồng cầu</html>
hồng hào	<html>@hồng hào<br>-@hồng hào<br>* adj<br>- ruddy, pink</html>
hồng hồng	<html>@hồng hồng<br>-@hồng hồng<br>- xem hồng (láy)</html>
hồng hộc	<html>@hồng hộc<br>-@hồng hộc<br>- Throbbing wildly<br>=Chạy nhanh qúa, thở hồng hộc+To have one's heart throb wildly after a very fast run</html>
hồng lâu	<html>@hồng lâu<br>-@hồng lâu<br>- (từ cũ; nghĩa cũ) Red pavillion palace (of high-born girls in the feudal times)<br>-Singsong girl's abode, pleasure house</html>
hồng mao	<html>@hồng mao<br>-@hồng mao<br>- Wild goose down<br>=Nhẹ tựa hồng mao+As light as wild goose down, as light as a feather</html>
hồng ngoại	<html>@hồng ngoại<br>-@hồng ngoại<br>- Infra-red<br>=Tia hồng ngoại+Infra-red rays</html>
hồng ngâm	<html>@hồng ngâm<br>-@hồng ngâm<br>- Soaked Japanese persimmon (thus rid of tannin)</html>
hồng nhan	<html>@hồng nhan<br>-@hồng nhan<br>* noun<br>- beautiful woman; beautiful girl</html>
hồng nhung	<html>@hồng nhung<br>-@hồng nhung<br>- (thục) Velvety rose</html>
hồng phúc	<html>@hồng phúc<br>-@hồng phúc<br>* noun<br>- great blessing</html>
hồng quân	<html>@hồng quân<br>-@hồng quân<br>- (từ cũ; nghĩa cũ; văn chương) Heaven<br>="Hồng quân với khách hồng quân" (Nguyễn Du)+Heaven and the fairs, heaven in its treatment of the fairs.<br>-(từ cũ; nghĩa cũ) Red army (of the Soviet Union)</html>
hồng quần	<html>@hồng quần<br>-@hồng quần<br>- (từ cũ; nghĩa cũ; văn chương) Red trousers; fair, beautiful girl</html>
hồng sắc	<html>@hồng sắc<br>-@hồng sắc<br>- (Gỗ hồng sắc) Reddish wood (second-class wood)</html>
hồng thập tự	<html>@hồng thập tự<br>-@hồng thập tự<br>* noun<br>- red cross</html>
hồng thủy	<html>@hồng thủy<br>-@hồng thủy<br>- The Deluge, the Flood</html>
hồng trần	<html>@hồng trần<br>-@hồng trần<br>- như bụi hồng</html>
hồng tâm	<html>@hồng tâm<br>-@hồng tâm<br>* noun<br>- bull's eye</html>
hồng vận	<html>@hồng vận<br>-@hồng vận<br>- Good luck, good fortune</html>
hồng xiêm	<html>@hồng xiêm<br>-@hồng xiêm<br>- Sapodila<br>=Quả hồng xiêm+Sapodilla plum</html>
hồng y	<html>@hồng y<br>-@hồng y<br>- như hồng y giáo chủ</html>
hồng y giáo chủ	<html>@hồng y giáo chủ<br>-@hồng y giáo chủ<br>- Cardinal</html>
hồng điều	<html>@hồng điều<br>-@hồng điều<br>- Scarlet</html>
hồng đào	<html>@hồng đào<br>-@hồng đào<br>- Rosy; peach-coloured</html>
hổ	<html>@hổ<br>-@hổ<br>* noun<br>- tiger<br>=con cọp</html>
hổ cốt	<html>@hổ cốt<br>-@hổ cốt<br>- Tiger bone<br>=Cao hổ cốt+Tiger bone glue</html>
hổ khẩu	<html>@hổ khẩu<br>-@hổ khẩu<br>- Tiger's mouth<br>-Hand's radial side</html>
hổ lang	<html>@hổ lang<br>-@hổ lang<br>- Cats, wild fierce animals, ferocious beasts (nói khái quát)</html>
hổ lốn	<html>@hổ lốn<br>-@hổ lốn<br>- Hotchpotch-like, miscellaneous<br>=Món ăn hổ lốn+A hotchpotch<br>=Văn chương hổ lốn+Hotchpotch-like literature</html>
hổ lửa	<html>@hổ lửa<br>-@hổ lửa<br>- xem rắn hổ lửa</html>
